Date,Share Price,SP500,BRK,GLD
2025-09-08,100.00,6495.15,493.78,334.82
2025-09-12,126.46,6584.29,493.74,335.42
2025-09-19,136.39,6664.36,492.85,339.18
2025-09-26,146.22,6643.70,500.03,346.74
2025-10-03,128.34,6715.79,498.75,357.64
2025-10-10,138.28,6552.51,489.13,369.12
2025-10-17,144.30,6664.01,492.42,388.99
2025-10-24,131.77,6791.69,492.10,377.52
2025-10-31,135.31,6840.20,477.54,368.12
2025-11-07,139.82,6728.80,499.06,368.31
2025-11-14,139.16,6734.11,508.94,375.96
2025-11-21,146.93,6602.99,504.04,374.27
2025-11-28,147.15,6849.09,513.81,387.88
2025-12-05,147.59,6870.40,504.34,386.44
2025-12-12,155.34,6827.41,499.52,395.44
2025-12-19,158.53,6834.50,494.53,399.02
2025-12-26,160.63,6929.94,498.30,416.74
2025-12-31,158.54,6845.50,502.65,396.31
2026-01-02,153.77,6858.47,496.85,398.28
2026-01-09,157.89,6966.28,499.10,414.47
2026-01-16,135.19,6940.01,493.29,421.29
2026-01-23,134.35,6915.61,478.97,458.00
2026-01-30,137.30,6939.03,480.53,444.95
2026-02-06,140.99,6932.30,508.09,455.46
2026-02-11,132.82,6941.47,500.02,467.63
2026-02-13,147.56,6836.17,497.55,462.62
2026-02-20,136.63,6990.51,498.20,468.62
2026-02-27,139.74,6878.88,504.95,483.75
2026-03-05,155.99,6830.71,500.40,466.13
2026-03-06,158.99,6830.71,500.40,473.51
2026-03-13,151.73,6632.19,490.03,460.84
2026-03-20,149.50,6506.48,480.94,413.38
2026-04-03,154.51,6582.69,477.35,429.41
2026-04-10,153.66,6816.89,454.77,437.13
2026-04-17,145.69,7126.06,454.77,445.93
2026-04-24,144.20,7165.08,469.32,433.25
2026-04-30,145.20,7209.01,473.60,423.66
2026-05-06,137.56,7365.12,469.83,430.96
2026-05-15,137.56,7408.50,482.70,417.29
2026-05-20,139.86,7353.61,480.46,411.50
2026-05-22,132.11,7473.47,480.46,413.82
2026-05-29,128.97,7580.06,480.46,417.12
2026-06-05,134.79,7383.74,480.46,396.24
2026-06-12,116.07,7431.46,480.46,386.54
2026-06-18,113.07,7500.58,480.46,387.12
2026-06-26,121.15,7354.02,480.46,373.63
2026-06-30,112.31,7499.36,480.46,368.38
2026-07-02,124.04,7483.24,480.46,378.13
2026-07-03,126.04,7483.24,480.46,378.13
